Sample ID,BeadChip Barcode,Sentrix Position,Plate Number,Well Position,Collected Gender
7816846,206680900037,R07C01,Plate_11,G12,Male
7816879,206680900037,R08C01,Plate_11,H12,Male
7846009,206680910077,R01C01,Plate_12,A01,Male
7846033,206680910077,R02C01,Plate_12,B01,Female
7846066,206680910077,R03C01,Plate_12,C01,Female
7846090,206680910077,R04C01,Plate_12,D01,Male
7815368,206680910077,R05C01,Plate_12,E01,Male
7816200,206680910077,R06C01,Plate_12,F01,Male
7816234,206680910077,R07C01,Plate_12,G01,Male
7816267,206680910077,R08C01,Plate_12,H01,Male
7816291,206680910078,R01C01,Plate_12,A02,Male
7816903,206680910078,R02C01,Plate_12,B02,Male
7816937,206680910078,R03C01,Plate_12,C02,Male
7816960,206680910078,R04C01,Plate_12,D02,Female
7816994,206680910078,R05C01,Plate_12,E02,Male
7817026,206680910078,R06C01,Plate_12,F02,Male
7817075,206680910078,R07C01,Plate_12,G02,Male
7817109,206680910078,R08C01,Plate_12,H02,Female
7815152,206680910094,R01C01,Plate_12,A03,Male
7815186,206680910094,R02C01,Plate_12,B03,Male
7815210,206680910094,R03C01,Plate_12,C03,Male
7815244,206680910094,R04C01,Plate_12,D03,Female
7817133,206680910094,R05C01,Plate_12,E03,Female
7817166,206680910094,R06C01,Plate_12,F03,Male
7817190,206680910094,R07C01,Plate_12,G03,Male
7817224,206680910094,R08C01,Plate_12,H03,Male
7817257,206680910095,R01C01,Plate_12,A04,Male
7817281,206680910095,R02C01,Plate_12,B04,Male
7815285,206680910095,R03C01,Plate_12,C04,Male
7815632,206680910095,R04C01,Plate_12,D04,Female
7815665,206680910095,R05C01,Plate_12,E04,Male
7816358,206680910095,R06C01,Plate_12,F04,Male
7850910,206680910095,R07C01,Plate_12,G04,Male
7850944,206680910095,R08C01,Plate_12,H04,Male
7850977,206680900017,R01C01,Plate_12,A05,Male
7851009,206680900017,R02C01,Plate_12,B05,Male
7851033,206680900017,R03C01,Plate_12,C05,Male
